Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0113","Rice","2013","2013","ha","232700","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","0113","Rice","2013","2013","kg/ha","6718.7","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0113","Rice","2013","2013","t","1563450","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5312","Area harvested","0113","Rice","2013","2013","ha","166299","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5412","Yield","0113","Rice","2013","2013","kg/ha","2663.3","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","0113","Rice","2013","2013","t","442911.67","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2013","2013","ha","2353152","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","0113","Rice","2013","2013","kg/ha","5007.1","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2013","2013","t","11782549","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5312","Area harvested","0113","Rice","2013","2013","ha","21000","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5412","Yield","0113","Rice","2013","2013","kg/ha","6205.1","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5510","Production","0113","Rice","2013","2013","t","130307","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","0113","Rice","2013","2013","ha","531700","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5412","Yield","0113","Rice","2013","2013","kg/ha","3844.8","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","0113","Rice","2013","2013","t","2044300","A","Official figure",""
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","0113","Rice","2013","2013","ha","396800","A","Official figure",""
"QCL","Crops and livestock products","218","Ecuador","5412","Yield","0113","Rice","2013","2013","kg/ha","3065.3","A","Official figure",""
"QCL","Crops and livestock products","218","Ecuador","5510","Production","0113","Rice","2013","2013","t","1216300","A","Official figure",""
"QCL","Crops and livestock products","328","Guyana","5312","Area harvested","0113","Rice","2013","2013","ha","164800","A","Official figure",""
"QCL","Crops and livestock products","328","Guyana","5412","Yield","0113","Rice","2013","2013","kg/ha","4999.6","A","Official figure",""
"QCL","Crops and livestock products","328","Guyana","5510","Production","0113","Rice","2013","2013","t","823930","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0113","Rice","2013","2013","ha","98000","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5412","Yield","0113","Rice","2013","2013","kg/ha","6300","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5510","Production","0113","Rice","2013","2013","t","617400","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","0113","Rice","2013","2013","ha","395651","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5412","Yield","0113","Rice","2013","2013","kg/ha","7711.2","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5510","Production","0113","Rice","2013","2013","t","3050934","A","Official figure",""
"QCL","Crops and livestock products","740","Suriname","5312","Area harvested","0113","Rice","2013","2013","ha","58274","A","Official figure",""
"QCL","Crops and livestock products","740","Suriname","5412","Yield","0113","Rice","2013","2013","kg/ha","4496.5","A","Official figure",""
"QCL","Crops and livestock products","740","Suriname","5510","Production","0113","Rice","2013","2013","t","262029","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5312","Area harvested","0113","Rice","2013","2013","ha","172500","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","0113","Rice","2013","2013","kg/ha","7881.2","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5510","Production","0113","Rice","2013","2013","t","1359500","A","Official figure",""
"QCL","Crops and livestock products","862","Venezuela (Bolivarian Republic of)","5312","Area harvested","0113","Rice","2013","2013","ha","214930","A","Official figure",""
"QCL","Crops and livestock products","862","Venezuela (Bolivarian Republic of)","5412","Yield","0113","Rice","2013","2013","kg/ha","5043.6","A","Official figure",""
"QCL","Crops and livestock products","862","Venezuela (Bolivarian Republic of)","5510","Production","0113","Rice","2013","2013","t","1084012","A","Official figure",""
"QCL","Crops and livestock products","005","South America","5312","Area harvested","0113","Rice","2013","2013","ha","4805806","A","Official figure",""
"QCL","Crops and livestock products","005","South America","5412","Yield","0113","Rice","2013","2013","kg/ha","5072.5","A","Official figure",""
"QCL","Crops and livestock products","005","South America","5510","Production","0113","Rice","2013","2013","t","24377622.67","A","Official figure",""
