Area,Year,Area harvested (ha),Production (t),Yield (kg/ha)
Bangladesh,2020,11417745.0,54905891.0,4808.8
Cambodia,2020,3269000.0,10936000.0,3345.4
China,2020,30341784.0,213610729.06,7040.2
"China, Hong Kong SAR",2020,0.0,0.06,2115.8
"China, Taiwan Province of",2020,261784.0,1750729.0,6687.7
"China, mainland",2020,30080000.0,211860000.0,7043.2
India,2020,45769000.0,186543000.0,4075.7
Indonesia,2020,10657275.0,54649202.24,5127.9
Myanmar,2020,6830000.0,26399600.0,3865.2
Pakistan,2020,3335585.0,12629514.0,3786.3
Philippines,2020,4718896.0,19294855.51,4088.8
Thailand,2020,10944149.0,31734268.0,2899.7
Viet Nam,2020,7222403.0,42764999.76,5921.2
