Area,Year,Area harvested (ha),Production (t),Yield (kg/ha),razão de produção/area
Argentina,2022,186070.0,1222426.0,6569.7,6569.710324071586
Bolivia (Plurinational State of),2022,203217.0,608680.66,2995.2,2995.22510419896
Brazil,2022,1623420.0,10776268.0,6638.0,6638.003720540588
Chile,2022,20712.0,100557.0,4855.0,4855.0115874855155
Colombia,2022,563300.0,2608500.0,4630.7,4630.747381501864
Ecuador,2022,337800.0,1252800.0,3708.7,3708.703374777975
Guyana,2022,154200.0,929600.0,6028.5,6028.5343709468225
Paraguay,2022,205744.0,975069.0,4739.2,4739.234193949763
Peru,2022,413108.0,3439013.38,8324.7,8324.73198291972
South America,2022,4143936.0,24224049.04,5845.7,5845.66196003027
Suriname,2022,48960.0,184235.0,3763.0,3762.96977124183
Uruguay,2022,152100.0,1397900.0,9190.7,9190.664036817883
Venezuela (Bolivarian Republic of),2022,235306.0,729000.0,3098.1,3098.093546275913
